Morgan Allen	NerdWallet	Tech Recruiter
Angela Bortolussi	Recruiting Social	Partner
Ronnie Bratcher	Arete Alliance, LLC	Sourcing Consultant
Maisha Cannon		Global Sourcing Leader
Teresa Colquitt	Cloudera	Sr. Technical Sourcer
Dean Da Costa	Lockheed Martin	Research Technologist
Arron Daniels	H-E-B / Source Houston	Recruiting Sourcer / Co-Founder
Todd Davis	Candidate Generator	Senior Sourcer
Donato Diorio	RingLead, Inc.	Strategic Advisor
Nancy Dorn	Amazon	Technical Recruiting Sourcer
Brian Fink	Relus	Lead Technical Recruiter
David Galley	Brain Gain Recruiting	Director, Training Programs
Sarah Goldberg	Objective Paradigm	Senior Sourcing and Research Specialist
Tyler Golden	Red Hat	Manager, Global TA Operations
Ben Gotkin	Association of Talent Acquisition Professionals	Executive Director
Glenn Gutmacher	State Street Corporation	Vice President of Diversity Talent Sourcing
Lance Haun	The Starr Conspiracy	Practice Leader
Carmen Hudson	Talent42	Co-Founder
Steven Jiang	Hiretual	CEO/Co-Founder
Steve Levy	Recruiting Inferno	Principal
Holly Mallowes	Raytheon	Global Talent Acquistion, Sourcing
Earl Mann	comF5	CEO
Will Maurer	General Motors	Global Talent Sourcing Manager
Rob McIntosh	McINTOSH & Co.	Principal Advisor
Jeff Newman	Dropbox	Sourcing Specialist
Leslie O	Search Wizards	Founder and CEO
Tom Ordonez	Sears Holdings	Talent Sourcer/Technical Recruiter
Alicia Priselac	SapientRazorfish	North American Sourcing Manager
Shannon Pritchett	ERE Media, Inc.	SourceCon Editor
Amybeth Quinn	Research Goddess	Market Intelligence and Analytics Leader
Steve Rath	Blue Wave Recruiting	Senior Sourcer
Alaina Rivas	Insperity	Director, Recruiting Services
Jeremy Roberts	HiringSolved	VP, Customer Experience
Jim Schnyder	PepsiCo	Sourcing Lead
Will Staney	Proactive Talent Strategies, LLC	Founder and Principal Consultant
Laura Stoker	Executive Director of Global Training	AIRS ® , Powered by ADP ®
Jim Stroud	Randstad Sourceright	Global Head of Sourcing and Recruiting Strategy
Kameron Swinton	Amazon	Recruiting Manager
Mark Tortorici	Transform Talent Acquisition	Founder / Training Expert
Kristi Wawro	The Walt Disney Company	Director, Enterprise Talent Sourcing
Stacy Zapar	Tenfold	Founder
